,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
133,0.000746,0.924,188648,0.932,0.227,9,0.292,-4.997,1,0.221,124.003,4,0.777,happy
134,0.00107,0.761,182951,0.91,0.591,6,0.227,-7.492,0,0.178,121.989,4,0.746,happy
135,0.299,0.707,219173,0.834,0.000891,5,0.13,-9.964,0,0.387,107.688,4,0.765,happy
136,0.324,0.753,90040,0.676,0.837,5,0.092,-12.561,0,0.0811,176.091,4,0.816,happy
137,0.909,0.409,135183,0.427,0.605,11,0.209,-10.081,0,0.0482,90.121,3,0.285,happy
138,0.695,0.251,260227,0.115,2.11e-05,10,0.617,-20.223,0,0.038,70.645,4,0.116,happy
139,0.747,0.737,105200,0.532,0.764,7,0.447,-8.641,1,0.0304,114.935,4,0.866,happy
140,0.0679,0.786,227213,0.835,0.737,7,0.351,-8.427,0,0.0385,122.001,4,0.378,happy
141,0.0932,0.89,157069,0.72,0.357,0,0.129,-6.958,1,0.29,110.981,4,0.477,happy
142,0.823,0.588,135276,0.302,0.872,11,0.107,-25.685,1,0.0456,77.99,4,0.885,happy
143,0.282,0.53,259540,0.694,0.0,1,0.279,-4.774,1,0.0374,149.533,4,0.474,happy
144,0.0807,0.685,403307,0.599,0.224,9,0.0844,-9.695,0,0.0385,93.373,4,0.713,happy
145,0.00243,0.549,279373,0.942,0.899,9,0.388,-4.648,1,0.0934,115.046,4,0.634,happy
146,0.156,0.614,187200,0.712,0.791,9,0.0711,-9.198,0,0.05,129.188,4,0.666,happy
147,0.308,0.596,272600,0.357,0.625,0,0.0959,-12.447,0,0.031,129.097,4,0.112,happy
148,0.0462,0.396,314200,0.778,0.638,4,0.199,-8.873,0,0.0632,153.761,4,0.597,happy
149,0.563,0.599,323160,0.7,0.68,11,0.0613,-8.191,1,0.0384,105.778,4,0.882,happy
150,0.422,0.601,236840,0.516,0.739,9,0.115,-9.644,0,0.03,89.94,4,0.757,happy
151,0.0921,0.512,266560,0.834,0.815,0,0.101,-7.661,1,0.0829,153.086,4,0.813,happy
152,0.499,0.601,339640,0.62,0.0508,0,0.155,-8.796,1,0.0401,148.362,4,0.592,happy
153,0.227,0.789,256960,0.755,0.64,4,0.359,-7.878,0,0.0615,112.096,4,0.8,happy
154,0.468,0.482,138944,0.531,0.885,10,0.103,-10.074,1,0.0316,159.0,4,0.465,happy
155,0.358,0.638,315533,0.973,0.878,0,0.0866,-7.367,1,0.0739,96.135,4,0.778,happy
156,0.159,0.761,218907,0.792,0.889,8,0.185,-10.595,1,0.0424,108.474,4,0.97,happy
157,0.00025,0.779,378537,0.996,0.876,4,0.279,-8.873,0,0.056,123.012,4,0.91,happy
158,0.239,0.813,128286,0.571,0.765,9,0.203,-10.649,1,0.0929,104.981,4,0.521,happy
159,0.0187,0.787,270508,0.713,0.866,0,0.256,-6.286,1,0.042,117.99,4,0.454,happy
160,0.465,0.6,346523,0.71,0.956,2,0.124,-10.81,1,0.0543,111.805,4,0.586,happy
161,0.0768,0.707,394827,0.467,0.258,4,0.12,-13.943,0,0.043,124.201,4,0.492,happy
162,0.414,0.449,132330,0.495,0.841,0,0.103,-13.947,1,0.0308,95.003,4,0.129,happy
163,0.129,0.579,244939,0.507,0.903,8,0.243,-14.987,0,0.0355,105.147,4,0.68,happy
164,0.531,0.766,190769,0.461,0.89,7,0.115,-10.774,1,0.0665,156.023,4,0.792,happy
165,0.569,0.539,252000,0.432,0.875,0,0.0927,-15.283,0,0.0466,157.774,4,0.546,happy
166,0.203,0.59,204695,0.683,0.305,3,0.13,-12.312,0,0.0389,82.013,4,0.88,happy
167,0.568,0.469,96099,0.565,0.935,1,0.101,-15.721,1,0.0643,174.22,4,0.382,happy
168,0.839,0.673,217715,0.616,0.741,9,0.139,-14.017,0,0.0415,111.988,4,0.643,happy
169,0.023,0.676,208500,0.776,0.522,5,0.291,-10.586,0,0.11,124.016,4,0.424,happy
170,0.402,0.511,271991,0.434,0.107,2,0.108,-9.427,0,0.0412,102.963,4,0.293,happy
